id,"title (draft)","regulator (draft)",instrument,reference_number,official_title_as_printed,"issue_date (YYYY-MM-DD)",effective_date,applicability,paynancial_products,customer_impact,official_source_url,source_document_file,"last_verified (YYYY-MM-DD)","next_review (YYYY-MM-DD)",reviewer_name,"verified (yes/no)"
pss-act,"Payment and Settlement Systems Act, 2007","Act of Parliament · RBI",,,,,,,,,,,,,,
pa-pg,"Payment Aggregator and Payment Gateway guidelines",RBI,,,,,,,,,,,,,,
pa-cb,"Cross-border Payment Aggregator (PA-CB) framework",RBI,,,,,,,,,,,,,,
fema,"Foreign Exchange Management Act, 1999 (FEMA)","Act of Parliament · RBI",,,,,,,,,,,,,,
tat,"Turn Around Time (TAT) for failed transactions",RBI,,,,,,,,,,,,,,
odr,"Online Dispute Resolution (ODR) for digital payments",RBI,,,,,,,,,,,,,,
udir,"UPI Online Dispute Resolution (UDIR)",NPCI,,,,,,,,,,,,,,
upi,"UPI procedural guidelines and circulars",NPCI,,,,,,,,,,,,,,
upi-autopay,"UPI AutoPay",NPCI,,,,,,,,,,,,,,
emandate,"E-mandates for recurring payments",RBI,,,,,,,,,,,,,,
nach,"National Automated Clearing House (NACH)",NPCI,,,,,,,,,,,,,,
imps,"Immediate Payment Service (IMPS)",NPCI,,,,,,,,,,,,,,
tokenisation,"Card-on-File tokenisation",RBI,,,,,,,,,,,,,,
security,"Digital Payment Security Controls",RBI,,,,,,,,,,,,,,
kyc,"Know Your Customer (KYC) Direction",RBI,,,,,,,,,,,,,,
ppi,"Prepaid Payment Instruments (PPI) Master Direction",RBI,,,,,,,,,,,,,,
free-ai,"Responsible and ethical AI in the financial sector (FREE-AI)",RBI,,,,,,,,,,,,,,
fraud-rm,"Fraud risk management directions",RBI,,,,,,,,,,,,,,
ombudsman,"Reserve Bank – Integrated Ombudsman Scheme",RBI,,,,,,,,,,,,,,
dpdp,"Digital Personal Data Protection Act, 2023","Act of Parliament",,,,,,,,,,,,,,
