URL,Page Type,Exists,Published,Indexable,Canonical,Noindex,Sitemap,Navigation,Internal Links (inbound),Search Intent,Primary Entity,Content Quality,Duplicate Risk,Thin Risk,Words,Max Overlap,Recommended Action,Reason
/agentic-ai,AI / Agentic,Yes,Yes,Yes,https://paynancial.com/agentic-ai,No,Yes,Footer,13,Navigational / brand,Agentic AI in Finance,Good,Low,Low,1451,9%,KEEP,
/agentic-ai/financial-agents,AI / Agentic,Yes,Yes,Yes,https://paynancial.com/agentic-ai/financial-agents,No,Yes,Footer,9,Navigational / brand,AI Financial Agents,Good,Low,Low,1224,8%,KEEP,
/agentic-ai/payment-orchestration,AI / Agentic,Yes,Yes,Yes,https://paynancial.com/agentic-ai/payment-orchestration,No,Yes,Footer,6,Navigational / brand,AI Payment Orchestration,Good,Low,Low,1054,10%,KEEP,
/ai-governance,AI / Agentic,Yes,Yes,Yes,https://paynancial.com/ai-governance,No,Yes,Footer,23,Navigational / brand,AI Governance,Good,Low,Low,768,13%,KEEP,
/ai-intelligence,AI / Agentic,Yes,Yes,Yes,https://paynancial.com/ai-intelligence,No,Yes,Header,13,Navigational / brand,AI & Financial Intelligence Platform,Good,Low,Low,2339,32%,KEEP,
/ai-intelligence/cash-flow-intelligence,AI capability (on request),Yes,Yes,Yes,https://paynancial.com/ai-intelligence/cash-flow-intelligence,No,Yes,Header+Footer,8,Commercial,AI Cash-Flow Intelligence,Good,Low,Low,959,38%,DECISION: NOINDEX per §37 or keep indexed,Indexed on owner request; capability not verified (§37.3)
/ai-intelligence/financial-assistant,AI capability (on request),Yes,Yes,Yes,https://paynancial.com/ai-intelligence/financial-assistant,No,Yes,Header+Footer,5,Commercial,AI Financial Assistant,Good,Low,Low,1012,32%,DECISION: NOINDEX per §37 or keep indexed,Indexed on owner request; capability not verified (§37.3)
/ai-intelligence/fraud-detection,AI capability (on request),Yes,Yes,Yes,https://paynancial.com/ai-intelligence/fraud-detection,No,Yes,Header+Footer,6,Commercial,AI Fraud Detection,Good,Low,Low,1097,30%,DECISION: NOINDEX per §37 or keep indexed,Indexed on owner request; capability not verified (§37.3)
/ai-intelligence/paynancial-ai,AI capability (on request),Yes,Yes,Yes,https://paynancial.com/ai-intelligence/paynancial-ai,No,Yes,Header+Footer,9,Commercial,Paynancial AI,Good,Low,Low,1135,32%,DECISION: NOINDEX per §37 or keep indexed,Indexed on owner request; capability not verified (§37.3)
/ai-intelligence/reconciliation,AI capability (on request),Yes,Yes,Yes,https://paynancial.com/ai-intelligence/reconciliation,No,Yes,Header+Footer,7,Commercial,AI Reconciliation,Good,Low,Low,1028,33%,DECISION: NOINDEX per §37 or keep indexed,Indexed on owner request; capability not verified (§37.3)
/ai-intelligence/revenue-forecasting,AI capability (on request),Yes,Yes,Yes,https://paynancial.com/ai-intelligence/revenue-forecasting,No,Yes,Header+Footer,7,Commercial,AI Revenue Forecasting,Good,Low,Low,879,38%,DECISION: NOINDEX per §37 or keep indexed,Indexed on owner request; capability not verified (§37.3)
/business-services/annual-compliance,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/annual-compliance,No,Yes,Header,10,Commercial,Annual Compliance,Medium,Medium,Low,504,46%,IMPROVE,"Shared template text 46%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/company-changes,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/company-changes,No,Yes,Header,5,Commercial,Company Changes,Medium,Medium,Low,520,48%,IMPROVE,"Shared template text 48%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/company-incorporation,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/company-incorporation,No,Yes,Header,31,Commercial,Company Incorporation — Start Your Business with Confidence,Medium,Medium,Low,1017,41%,KEEP,
/business-services/global-incorporation,Business Service,Yes,Yes,No,https://paynancial.com/business-services/global-incorporation,Yes,No,—,18,Commercial,Global Company Incorporation — Incorporate Your Business Globally,Good,Low,Low,893,39%,KEEP NOINDEX,No jurisdiction approved yet (served_confirmed + content_verified)
/business-services/gst-registration,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/gst-registration,No,Yes,Header,11,Commercial,GST Registration,Medium,Medium,Low,589,58%,IMPROVE,"Shared template text 58%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/llp-registration,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/llp-registration,No,Yes,Header,5,Commercial,LLP Registration,Medium,Medium,Low,601,60%,IMPROVE,"Shared template text 60%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/msme-registration,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/msme-registration,No,Yes,Header,9,Commercial,MSME / Udyam Registration,Medium,Medium,Low,547,57%,IMPROVE,"Shared template text 57%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/opc-registration,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/opc-registration,No,Yes,Header,5,Commercial,One Person Company (OPC) Registration,Low,High,Low,564,62%,IMPROVE,"Shared template text 62%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/pan-tan-assistance,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/pan-tan-assistance,No,Yes,Header,4,Commercial,PAN / TAN Assistance,Medium,Medium,Low,554,58%,IMPROVE,"Shared template text 58%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/partnership-registration,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/partnership-registration,No,Yes,Header,5,Commercial,Partnership Firm Registration,Medium,Medium,Low,560,57%,IMPROVE,"Shared template text 57%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/private-limited-company,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/private-limited-company,No,Yes,Header,9,Commercial,Private Limited Company Registration,Low,High,Low,614,62%,IMPROVE,"Shared template text 62%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/roc-compliance,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/roc-compliance,No,Yes,Header,6,Commercial,ROC Compliance,Medium,Medium,Low,517,48%,IMPROVE,"Shared template text 48%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/startup-registration,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/startup-registration,No,Yes,Header,6,Commercial,Startup India Registration,Medium,Medium,Low,574,57%,IMPROVE,"Shared template text 57%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/trademark-registration,Business Service,Yes,Yes,Yes,https://paynancial.com/business-services/trademark-registration,No,Yes,Header,7,Commercial,Trademark Registration,Medium,Medium,Low,589,49%,IMPROVE,"Shared template text 49%; add eligibility, authority, post-registration compliance, common mistakes, official sources, last reviewed (§14)"
/business-services/trademark-search,Business Service,Yes,Yes,No,https://paynancial.com/business-services/trademark-search,Yes,No,Header,4,Commercial,Trademark Search,Medium,Medium,Medium,492,49%,KEEP NOINDEX,Duplicates Trademark Registration intent
/business-services,Business Services hub,Yes,Yes,Yes,https://paynancial.com/business-services,No,Yes,Header,49,Commercial,"Business Services — Company Incorporation, Registration & Compliance",Low,High,Low,922,68%,IMPROVE,High overlap with directory/global copy
/about,Company / marketing,Yes,Yes,Yes,https://paynancial.com/about,No,Yes,Header+Footer,1,Navigational / brand,About Paynancial,Good,Low,Low,1066,2%,KEEP,
/blog,Company / marketing,Yes,Yes,Yes,https://paynancial.com/blog,No,Yes,Header+Footer,2,Navigational / brand,Blog,Low,Low,High,41,0%,NOINDEX until posts exist,"41 words, no posts; no /blog/{slug} route exists yet"
/careers,Company / marketing,Yes,Yes,Yes,https://paynancial.com/careers,No,Yes,Header+Footer,1,Navigational / brand,Careers,Low,Low,High,108,1%,IMPROVE,Under 400 words
/leadership,Company / marketing,Yes,Yes,Yes,https://paynancial.com/leadership,No,Yes,Header+Footer,1,Navigational / brand,Leadership,Medium,Low,Medium,370,2%,IMPROVE,Under 400 words
/partners,Company / marketing,Yes,Yes,Yes,https://paynancial.com/partners,No,Yes,Header+Footer,4,Navigational / brand,Partners,Medium,Low,Medium,313,6%,IMPROVE,Under 400 words
/pricing,Company / marketing,Yes,Yes,Yes,https://paynancial.com/pricing,No,Yes,Header+Footer,1,Navigational / brand,Pricing,Medium,Low,Medium,335,1%,IMPROVE,Under 400 words
/products,Company / marketing,Yes,Yes,Yes,https://paynancial.com/products,No,Yes,Footer,45,Navigational / brand,Products,Good,Low,Low,601,3%,KEEP,
/security,Company / marketing,Yes,Yes,Yes,https://paynancial.com/security,No,Yes,Header+Footer,21,Navigational / brand,Security,Good,Low,Low,705,6%,KEEP,
/support,Company / marketing,Yes,Yes,Yes,https://paynancial.com/support,No,Yes,Header+Footer,3,Navigational / brand,Support,Medium,Low,Medium,347,3%,IMPROVE,Under 400 words
/technology,Company / marketing,Yes,Yes,Yes,https://paynancial.com/technology,No,Yes,—,3,Navigational / brand,Financial Technology in the Era of Agentic AI,Good,Low,Low,1299,1%,KEEP,
/trust,Company / marketing,Yes,Yes,Yes,https://paynancial.com/trust,No,Yes,Footer,43,Navigational / brand,Trust Center,Good,Low,Low,735,9%,KEEP,
/developers,Developer docs,Yes,Yes,Yes,https://paynancial.com/developers,No,Yes,Header+Footer,25,Informational,Developers,Good,Low,Low,877,21%,KEEP,
/developers/api-reference,Developer docs,Yes,Yes,Yes,https://paynancial.com/developers/api-reference,No,Yes,Header+Footer,60,Informational,API Reference,Good,Low,Low,1422,29%,KEEP,
/developers/authentication,Developer docs,Yes,Yes,Yes,https://paynancial.com/developers/authentication,No,Yes,Footer,9,Informational,API Authentication,Good,Low,Low,807,11%,KEEP,
/developers/integration-guide,Developer docs,Yes,Yes,Yes,https://paynancial.com/developers/integration-guide,No,Yes,Header+Footer,19,Informational,Integration Guide,Good,Low,Low,880,21%,KEEP,
/developers/payment-apis,Developer docs,Yes,Yes,Yes,https://paynancial.com/developers/payment-apis,No,Yes,Header,5,Informational,Payment APIs,Good,Low,Low,1260,31%,KEEP,
/developers/payout-apis,Developer docs,Yes,Yes,Yes,https://paynancial.com/developers/payout-apis,No,Yes,Header,5,Informational,Payout APIs,Good,Low,Low,1182,35%,KEEP,
/developers/sdks,Developer docs,Yes,Yes,Yes,https://paynancial.com/developers/sdks,No,Yes,Header+Footer,10,Informational,"SDKs for PHP, JavaScript & Python",Good,Low,Low,697,29%,KEEP,
